Shear rate	Viscosity
1/s	Pa.s
0.1232	65.0181
0.1524	53.8592
0.1886	44.9110
0.2334	37.7842
0.2888	32.3204
0.3573	27.6199
0.4421	23.3961
0.5470	19.5693
0.6767	16.2369
0.8373	13.2881
1.0361	10.7348
1.2819	8.6615
1.5861	7.1054
1.9624	6.0993
2.4281	5.0198
3.0042	4.1558
3.7172	3.4672
4.5993	2.9032
5.6906	2.4203
7.0412	2.0200
8.7120	1.6770
10.7794	1.3873
13.3374	1.1424
16.5024	0.9376
20.4183	0.7649
25.2636	0.6232
31.2586	0.5085
38.6764	0.4137
47.8544	0.3359
59.2105	0.2724
73.2611	0.2212
90.6464	0.1794
112.1580	0.1452
138.7730	0.1176
171.7050	0.0957
212.4490	0.0779
262.8660	0.0635
325.2430	0.0514
402.4210	0.0426
497.9160	0.0352
